#    L    TT             EE             BB             TE          
   343    2.67293E+03    1.68126E+01    3.26329E-02    9.78320E+01
   344    2.65246E+03    1.69840E+01    3.26831E-02    9.69445E+01
   345    2.62632E+03    1.72046E+01    3.27250E-02    9.61940E+01
   346    2.59747E+03    1.73683E+01    3.28874E-02    9.49579E+01
   347    2.56950E+03    1.74845E+01    3.31653E-02    9.33310E+01
   348    2.54210E+03    1.76279E+01    3.33834E-02    9.17049E+01
   349    2.51751E+03    1.78209E+01    3.34826E-02    9.02247E+01
   350    2.49539E+03    1.80203E+01    3.35370E-02    8.89054E+01
   351    2.47424E+03    1.81818E+01    3.36548E-02    8.77567E+01
   352    2.44947E+03    1.83071E+01    3.38109E-02    8.65405E+01
   353    2.42220E+03    1.83984E+01    3.39300E-02    8.50644E+01
   354    2.39612E+03    1.84988E+01    3.39359E-02    8.33495E+01
   355    2.37478E+03    1.86602E+01    3.39835E-02    8.17300E+01
   356    2.35340E+03    1.88514E+01    3.41191E-02    8.03526E+01
   357    2.32589E+03    1.89989E+01    3.43294E-02    7.89111E+01
   358    2.30095E+03    1.90996E+01    3.44729E-02    7.73193E+01
   359    2.28191E+03    1.92028E+01    3.44730E-02    7.57409E+01
   360    2.26172E+03    1.93429E+01    3.44638E-02    7.41273E+01
   361    2.23728E+03    1.94902E+01    3.45087E-02    7.24538E+01
   362    2.21102E+03    1.95963E+01    3.45685E-02    7.05775E+01
   363    2.19321E+03    1.96925E+01    3.46873E-02    6.87796E+01
   364    2.18181E+03    1.98309E+01    3.48440E-02    6.73216E+01
   365    2.16233E+03    1.99967E+01    3.50114E-02    6.55829E+01
   366    2.13836E+03    2.01564E+01    3.52332E-02    6.37381E+01
   367    2.11704E+03    2.02672E+01    3.53725E-02    6.21009E+01
   368    2.10077E+03    2.03201E+01    3.54296E-02    6.02306E+01
   369    2.09020E+03    2.03500E+01    3.55004E-02    5.82875E+01
   370    2.07296E+03    2.04060E+01    3.55788E-02    5.65325E+01
   371    2.05075E+03    2.04735E+01    3.56019E-02    5.46292E+01
   372    2.02955E+03    2.05515E+01    3.56403E-02    5.25991E+01
   373    2.01162E+03    2.06619E+01    3.57727E-02    5.06177E+01
   374    1.99997E+03    2.07796E+01    3.59252E-02    4.88504E+01
   375    1.98711E+03    2.08982E+01    3.60555E-02    4.71547E+01
   376    1.97297E+03    2.09910E+01    3.61758E-02    4.54351E+01
   377    1.96022E+03    2.10082E+01    3.63114E-02    4.37612E+01
   378    1.94726E+03    2.10319E+01    3.64963E-02    4.19860E+01
   379    1.93326E+03    2.11200E+01    3.65802E-02    3.99438E+01
   380    1.91827E+03    2.12192E+01    3.65764E-02    3.77056E+01
   381    1.90286E+03    2.12878E+01    3.66980E-02    3.54684E+01
   382    1.89110E+03    2.13338E+01    3.68448E-02    3.36434E+01
   383    1.88209E+03    2.13838E+01    3.68953E-02    3.21997E+01
   384    1.87460E+03    2.14664E+01    3.69904E-02    3.05220E+01
   385    1.86787E+03    2.15489E+01    3.71993E-02    2.84102E+01
   386    1.85520E+03    2.15344E+01    3.73725E-02    2.59299E+01
   387    1.84033E+03    2.15289E+01    3.74351E-02    2.37000E+01
   388    1.82970E+03    2.16058E+01    3.75367E-02    2.19650E+01
   389    1.81878E+03    2.16496E+01    3.76936E-02    1.99789E+01
   390    1.80786E+03    2.16348E+01    3.78038E-02    1.79870E+01
   391    1.79712E+03    2.16540E+01    3.78499E-02    1.64856E+01
